郭喊我若當選籌備3兆青創基金,鴻海董事長郭台銘和總統蔡英文兩人比較照顧年輕人誰厲害，郭台銘說，若他當選將籌備千億美元（3.1兆台幣）的創業基金，展現對年輕人創業的支持。郭台銘表示，前天晚上和一些有國際視野的年輕創業家聚會，「他們希望我出來把創新留在台灣，他們需要我，將核心的科技留在台灣，帶領他們到全世界去」。郭台銘說，如果他當選總統，一定會籌備一個幾千億美金的創投基金，對年輕人的創意創新創業全力支持，把全台灣建設成美麗的科技創新島。郭台銘過去一直相當在意年輕人在鴻海內部的發展，除鼓勵員工創業、提供優渥薪資外，最令員工稱道的則是自2015年大舉調高育兒津貼，每胎補助總價值16萬元的生育補助及養育津貼。除此之外，每天的餐費補助，也是員工可以省錢的小秘方之一。員工說，每天午餐補助50元、晚餐70元，員工只需要付少少的錢，就有不錯套餐選擇，牛肉麵、雞腿餐都足夠飽餐一頓。記者楊喻斐、財經中心,2019/5/20
「開車上學」引爆舌戰蔡反擊郭廠裡年輕人這麼多輕生郭怒批蔡失格的總統往生當議題,【楊喻斐、劉智維╱連線報導】鴻海董事長郭台銘前天批總統蔡英文大學都是開車上學，引發蔡反擊「首富講這種話，說服力不強」，嗆「郭董事長要想想看，為什麼他的工廠裡有這麼多年輕人想不開？」對蔡的回擊，郭怒批「失格的總統」，把往生者當作競選議題不適當，直言富士康員工輕生是他創業45年來心中最沉重的痛。郭台銘前天以「破解低薪，給年輕人養得起的大未來」為題，和青年對談，在活動開始前，郭受訪提到日前他訪問花東偏鄉民眾經濟無感，話鋒一轉酸蔡念大學時都開車上學，而他卻得騎車送貨，批蔡無法苦民所苦。「開車上學」話題發酵，昨天蔡英文南下高雄參拜內門紫竹寺時表示，台灣的首富講這個話，說服力可能比較不強，倒是郭董事長要想想看，為何他的企業在工廠裡面有這麼多年輕人想不開？蔡英文說，政府3年來將基本工資3度提高，加薪減稅有具體作法，像是社會住宅、長照及育兒育嬰照顧等措施都陸續到位，「或許郭董事長經營事業不錯，但是照顧人民這件事情，我比較有專長」。同一時間人在雲林縣安西府的郭台銘，聽到蔡說照顧年輕人是她的專長，不以為然地表示：「網友相信嗎？」再被問到蔡提及富士康員工跳樓輕生事件，郭先是臉色凝重，說這個問題不適合在這裡（安西府）談，沒多久後即展開反擊，稱以一個總統的高度，應該是對國政表示意見，把往生者當作一個競選的議題並不適當。他說：「廟在這裡面，我想老天爺會知道這件事情！」郭台銘下午再回應，富士康跳樓案是他創業45年來心中最沉重的痛，也因為這樣他更能感受到年輕人對未來的期望。郭說，富士康員工跳樓的議題，很容易被渲染，蔡英文應該有總統的高度，卻用這議題攻擊對手，她是「失格的總統」；郭強調：「總統應該解決問題，而不是製造問題。」昨天郭台銘展開「橫掃雲林六鄉鎮」行程，下午參訪西螺百年老店瑞春醬油，郭表示，西螺這麼好的醬油，除了賣到日本外，為什麼不能賣大陸，他來（指當選總統）一定會幫助台商，解決跟對岸貿易關係。郭說，他從小吃西螺醬油長大，會幫助兩岸貨貿關稅降到最低，簽訂FTA（自由貿易協定）。郭說：「我在此宣示，一定讓全台灣經濟翻轉，拼經濟是我唯一的工作。」郭台銘到雲林馬不停蹄跑一整天，媒體問郭會不會累？郭說，他昨天凌晨2點半睡覺，不到6點就起床了，一點也不覺得累，覺得很愉快，很多鄉民都叫他出來救經濟。結束一天行程後，郭台銘和雲林縣前立委張嘉郡、雲林縣議員王鈺齊，一起品嘗雲林有名小吃「魷魚嘴羹」及「桶仔雞」，郭台銘一口氣捧場吃完整碗「嘴羹」，體驗平民小吃，隨後再趕往斗南鎮吃桶子雞。,2019/5/20
郭台銘展後勁民調升4.8百分點逼近韓國瑜郭單挑蔡則領先7.2百分點,【政治中心╱台北報導】郭董接地氣，果然反映在民調上！《蘋果》最新總統民調顯示，國民黨黨內互比民調，韓國瑜以25.6％支持度領先郭台銘的18.5％，與上周民調25.5％支持韓國瑜、13.7％支持郭台銘相較，韓幾乎不動，郭的支持度卻大幅上揚4.8個百分點；另郭台銘與蔡英文一對一對決，上周兩人民調打成平手，昨《蘋果》民調33.5％支持蔡英文，40.7％支持郭台銘，郭領先蔡7.2個百分點，後勢強勁。至於韓國瑜、柯文哲分別的對比民調，詳細請參閱今天《蘋果新聞網》，明天《蘋果》將刊登完整解析內容。為了解民眾對2020總統大選可能參選人支持度，《蘋果》委託典通股份有限公司，周周獨家推出民調，針對國民黨可能參選人新北市前市長朱立倫、立法院前院長王金平、高雄市長韓國瑜、鴻海董事長郭台銘，民進黨可能參選人總統蔡英文、行政院前院長賴清德，以及台北市長柯文哲進行對比式民調，分析選情變化。這次最新民調在5月16日至5月19日以電話訪問方式進行。在國民黨黨內對比民調方面，上周25.5％支持韓國瑜、13.7％支持郭台銘，本周25.6％持韓國瑜、18.5％支持郭台銘，民調數字顯示，韓國瑜的支持度沒有太大變動，但郭台銘的支持度卻明顯上揚，郭與韓的差距也從11.8個百分點縮小到7.1個百分點。顯示郭頻跑花東與雲林基層，曝光度大增，也讓支持度上升；而韓支持度呈現停滯，應與高雄市議員黃捷質詢翻白眼、館長陳之漢和韓國瑜翻臉有關。此外，若明年郭台銘與蔡英文一對一對決，上周《蘋果》民調結果，支持蔡英文和支持郭台銘都是37.4％，難分軒輊，但本周民調結果顯示，33.5％支持蔡英文，40.7％支持郭台銘，郭台銘領先蔡英文7.2個百分點。典通公司分析，上周五立法院三讀通過《司法院釋字第748號解釋施行法》（同婚專法），同婚專法的激情「並未反映在蔡英文或賴清德的支持度」。典通公司分析，郭台銘自4月17日正式宣布參選以來，積極在各地方走動爭取選民支持，對民進黨蔡英文的經濟發展政策或兩岸議題多有評論，對國民黨內部其他參選者的議論火力也逐漸加強，民調數字也因此上升，但未來郭台銘是否吸引了一些本來對政黨或各參選人興趣缺缺的選民轉向支持，值得關注。國民黨黨內人士說，郭董自宣布參選後，說話不改霸氣風格，身段卻放得又軟又低。硬的是他豪氣宣示，不會有習郭會，也不會讓對岸拿鴻海綁架他。軟的是他放下總裁身段，幫記者綁鞋帶、下鄉接地氣，軟硬之間，幾乎讓人忘卻哪一個才是真正的郭董。政壇人士分析，郭董下鄉台東、雲林，不忘火花四射，批蔡打韓罵柯，幾乎火力全開，尤其消遣蔡總統不了解年輕人在高中及大學時候的辛苦，因為她都開車上課，他則以黑手出身創造千億家當，爭取更多年輕人的認同。,2019/5/21
郭台銘：蔡不好吃換郭重煮誇口麥寮變國際港「雲林企業投資多少我就加碼多少」,【楊喻斐、林靜盛╱雲林報導】國民黨總統初選參選人郭台銘昨火力全開，批蔡英文政府把所有人全整了一遍，還推新口號「蔡不好吃換郭重煮」，更稱這次參選是幫韓國瑜解套，讓韓市長安心在高雄。在雲林參訪時，郭猛開支票，不僅透露要和台塑集團推動將麥寮港轉為國際商港，更加碼「雲林企業投資多少，鴻海就加碼多少！」郭台銘昨赴雲縣府聽簡報，鴻海集團副總裁陳振國、特助胡國輝等人隨行。郭說，他要做雲林志工，「只要一杯古坑咖啡、一瓶醬油，雲林是進可攻、退可守的地方。」他要將雲林產業、教育翻轉列為第1號工程，組團隊協助雲林，過一個月後、6月20日簽約。和中小企業主座談時，郭台銘說投資要有信心，雲林人都不投資自己，要怎麼招商？「雲林企業家你們投資多少，鴻海就加碼多少！」為讓麥寮港轉為國際商港，郭台銘透露，他特別打電話給台塑集團總裁王文淵，王表示全力支持，未來將與台塑集團一起推動，讓投資與建設同時並進。郭台銘認為，受美中貿易戰影響，麥寮港是一個機會，船進來之後可以分成小船運到廈門、深圳去，打造麥寮成為邏輯運輸物流中心；由於雲林縣長張麗善上任後力推麥寮港改制公投，郭說，如果他當總統，這港口計劃不須公投，「希望明年這時候，在前面10個公文當中會有麥寮港轉型為國際商港的計劃。」對郭台銘拋出議題，經濟部昨說，現行法規麥寮港屬工業區專屬港口，如想改成國際商港，主管機關必須改為交通部。經濟部工業局解釋，所謂工業區專屬港，僅限當地工業區廠商才能使用，即使是雲林縣其他科學園區的廠商，也不能使用麥寮港。台灣目前共有4個商港，包含台北港、台中港、花蓮港、高雄港。外界有人認為麥寮港太小、水太淺不適合當國際商港，經部官員說，大小不一定是作為商港的重要考量，主要是需求，如果沒需求也沒用，麥寮港若想改建為商港，須評估鄰近3縣市如雲林、嘉義、彰化是否真有此需求。雲縣府對此表示樂觀其成。雲林縣新聞處長周柏吟表示，麥寮港水深24公尺，腹地廣大，未來若能成為國際商港，當地優質農特產品就能有直接出口的港口，可帶動地方發展。位置：雲林離島式基礎工業區之麥寮區啟用：2001年3月1日運量：每年7千萬噸水深：航道水深24公尺，可供30萬噸級油輪進出，為台灣地區最深之深水港目前功能：國內第1大運輸原物料及成品之工業區內專用港口資料來源：官網、《蘋果》整理,2019/5/21
富士康廠內共產黨開會郭台銘：僅借場地首度親口澄清「也歡迎民進黨來開會」,【齊瑞甄╱台北報導】郭台銘宣布角逐2020年總統大位、全力投入國民黨初選後，外界放大檢視他中國龐大事業及黨政關係，他昨在青年座談中直球回應鴻海中國廠有共黨組織的敏感問題，首度親口澄清只是「借場地」，並強調「絕不會讓共產黨黨校做思想教育，不像有的媒體跑去北京聽訓」，趁機酸了蔡衍明。昨下午在台北「郭董讓你問」活動中，有青年提問鴻海董事長郭台銘，在中國投資龐大，鴻海旗下富士康內部又設共產黨支部，未來若當選要怎切割，如何確保做決策是為台灣利益，而非富士康利益，且不被中國綁架。郭台銘回應，中國廠有共產黨組織，是因當地優秀學生幾乎都加入共產黨，富士康在中國有幾萬個員工是黨員，「今天黨組織他們要舉辦小組會議，我們純粹只是出借場地」。郭台銘指出，過去在台灣也有很多人在學生時期就加入國民黨，在中國也是一樣，富士康吸收這些好的學生進來，但他們不能干預公司經營，包括所有美商或台商都會面臨這種情況。郭台銘說：「百分之百可以確定的是，這麼多年來，他們沒有任何一件事情可以過問公司經營。」他重申鴻海在中國投資，百分之百是自主經營，不受任何黨團控制。郭台銘表示，在陳水扁總統時代，已有經濟部長質疑過這個問題，他當時的回答是，也歡迎民進黨來這裡開黨組會議。他表示，若當選總統，一定要跟北京當局談判，若能代表國民黨，會要求讓國民黨黨員也可以在中國開會，只是無法確定中國是否接受。郭台銘話鋒一轉，狠批旺旺董事長蔡衍明日前率多家台灣媒體代表會見中國全國政協主席汪洋一事，強調說：「我們不會這樣做。」對於外商在中國設廠必須成立共產黨支部的說法，不願具名的傳統產業台商董事長表示，中國並非明文規定企業赴當地投資就必須設立共產黨支部，「不過確實有聽聞，具指標性的大企業，可能都會被要求。」經濟部官員則表示，對於這部分，投審會對於台商赴中國投資並無相關條文規範，因此台商赴中國投資時也不需要報備。不過，大中華區德國工商大會（DelegationsofGermanIndustryandCommerceinChina）曾警告，在中國設有據點的德國企業對中國要求他們設立共產黨基層組織感到憂心，如果壓力揮之不去，部分業者甚至可能退出中國市場。2017年11月大中華區德國工商大會在聲明中指出，已接獲共產黨試圖擴大影響在中國設有據點純外資德國企業的回報，大中華區德國工商大會表示，隨著共產黨對營運影響力上升，外國企業在中國面臨的挑戰日益升高。破解低薪鴻海帶頭加薪，提升台灣服務業品質，增加更多收入翻轉教育改變教育體制，縮小城鄉差距，偏鄉小孩也能上一流大學租稅公平課富人稅、薪資階級減稅，稅收合理分配到需幫助的年輕人抑制房價釋出更多土地抑制房價、壓低工業區地價，讓年輕人有房鼓勵新創協助創業基金，由國家機器來做，至少有幾千億元資金投入新創政府效能小政府高效率，讓公務員不收紅包勇於任事、盡可能「圖利廠商」資料來源：《蘋果》採訪整理,2019/5/19
郭台銘：不要做不到講一堆暗諷韓國瑜口號太多臉書遭韓粉洗版,2020大選風雲藍營爆點【王文傑、吳慧芬╱連線報導】投入國民黨總統黨內初選的鴻海董事長郭台銘，昨早在花蓮東華大學進行青年座談，台下有學生提問希望未來不要聽到郭台銘喊出「台灣發大財」口號，要郭董能提出具體治國理念。郭台銘回應，做永遠比說還重要，那些做不到的事情就要含蓄一點，「不要做不到的事情講一大堆」。言談之中似乎暗諷高雄市長韓國瑜口號太多。郭台銘昨稍早到花蓮壽豐鄉體驗農村生活，與農民一起下田採收紅鳳菜。他表示，老農民們要彎腰彎40分鐘才能收穫10公斤，總共賺100元，讓他聽了很不捨，希望未來可以結合科技與農業採收，讓農民們不用那麼辛勞，也減緩職業傷害，提高收入。在花蓮東華大學的青年座談由行政院前院長張善政擔任引言人，也引發外界聯想是否郭、張配逐步成形。張善政告訴大家，郭台銘是檯面上最接近滿分的總統人選，「他不是為了找工作當總統，那樣會不擇手段」。郭台銘接著以「我的人生哲學—許年輕人一個美好的未來」為題演講，大談經濟科技治國理念，強調AI人工智慧是未來趨勢，不管各行各業都會被AI顛覆，「經濟是科技的整合，不是口號！」學生提問涉及各層面，有人問道：「工者有其屋，郭董怎讓年輕人買得起房？」、「大陸來台炒房產？」、「郭董政治素人口才不好，現在從事政治會不會很辛苦？」也有學生調侃說：「你都搭私人飛機longstay，當選後一人發一架？」郭台銘則一一從容回應，展現霸氣。郭台銘說，他從政主軸就是「和平、安定、經濟、未來」，人要「定、靜、安、慮、得」，沒有和平就沒有未來，有安定才有經濟發展，經濟的背後又是科技的總和，他要把科技的力量帶入各行各業，要將庶民經濟提升到知識經濟時代。他強調：「經濟iseverything」，經濟發達國家才有稅收，才能拿錢去做社會福利、環保工作。而前天下午郭台銘以「智慧創新打造台東新未來」為題，與中小企業座談，郭董在講座砲火猛烈，除批藍綠也批柯P，尤其他在會中講未來將翻轉台灣命運，不會只跳針「發大財」，被聯想在諷刺韓國瑜，引來不少韓粉湧入郭董臉書留言回批。前晚郭董臉書2800多則留言，多數是韓粉湧入留言，對於郭董諷刺韓國瑜感到不滿。網友YouEvon說：「郭台銘董事長你今天講的話真的讓我刮目相看！國民黨內鬥內行外鬥外行！2016年不敢出來承擔！2020就要出來割稻尾！你的起手式全部都是算計！」針對郭台銘暗諷韓國瑜口號太多，以及韓粉回批郭台銘，高市新聞局長王淺秋表示，沒有回應。,2019/5/18
事業與中國糾葛將成郭董困境,《蘋果》昨發布最新民調結果，鴻海董事長郭台銘自上月17日宣布參選總統後，支持度一直維持國民黨內第2名，輸給高雄市長韓國瑜，但相較《蘋果》前2次所做民調，韓國瑜勝過民進黨對手的幅度大幅降低。台北大學公行系副教授侯漢君表示，郭台銘要再擴張票源不太容易，畢竟上回見美國總統川普後，民調也沒有大幅度上升，後續有待觀察。侯漢君分析，韓國瑜近期民調降低，主要是跟郭台銘參選有關，以及近期在市議會備詢時回答不出自經區議題，但影響有限；至於被分走這些票，可能與前總統馬英九有關，因馬支持且勸進郭台銘參選，韓的票也遭分走。侯漢君表示，韓國瑜優勢在於他打過選戰，去年選舉主打庶民經濟，基層支持度比郭高；至於郭台銘主打成功企業主形象，以及經濟專業，讓人民對台灣未來經濟有期待，但綜觀起來韓國瑜仍較有優勢。侯漢君也舉出郭台銘眼前的兩困境，一是郭稱要幫年輕人找出路，有人就會問，為何不把富士康搬回台灣，增加年輕人就業機會？雖然現在畫大餅，但能否做到，形成郭的兩難。再來是與中國的關係，鴻海底下的富士康設有中共黨部支部，郭要如何證明，自己不會為了公司利益，犧牲國家利益，這已成為他不可迴避的問題。記者黃韋銓,2019/5/15
郭台銘27％殺出勝柯文哲郭僅次蔡英文柯「老二優勢」不再,【政治中心╱台北報導】鴻海董事長郭台銘上月17日宣布投入國民黨總統初選，挾著台灣首富的氣勢，民調表現相當亮眼。《蘋果》委託「典通公司」進行對比民調，郭台銘在藍營內的人氣僅次於韓國瑜，若是藍綠白推出郭台銘、蔡英文、柯文哲對壘，郭得到27.6％支持，僅次於蔡的28.4％，柯則以23.6％落居第三，不再是坐二望一的有利位置，顯現藍綠白間已出現微妙變化。自稱是媽祖要他選總統的郭台銘，為化解外界質疑他可能遭中國綁架，郭董曾宣示，不會有習郭會，如果當中華民國總統，對岸以鴻海關廠威脅，「給我幾個月的時間，我一定會搬到更有競爭力的地方」，並霸氣嗆：「中國憑什麼綁架我。」尤其郭董赴美和川普會面後，親美友中的態度，讓參選總統聲勢和個人聲望幾乎拉到頂點。至於老神在在的台北市長柯文哲，在藍綠各自陷入總統初選亂局中，他吸綠納藍成為保命符，雖然沒有鬆口要不要選2020，私底下卻動作不斷。由於柯之前在各項總統民調中經常性排名第二，至少都有2成支持，不過，隨著藍綠整軍歸隊，左右逢源的優勢似乎面臨挑戰。根據《蘋果》民調，藍綠若由郭台銘與蔡英文對決，表態參選總統不到1個月的郭台銘，竟和蔡打得平分秋色，都是得到37.4％支持，13.8％都不支持，另有11.4％不表態。組合若是換成賴清德對上郭台銘，郭支持度略降，獲得32.3％支持，賴則取得43.5％支持，另14.2％都不支持，10％尚未決定。另根據《蘋果》民調，若明年總統選舉藍綠白組合由郭台銘、蔡英文、柯文哲進行對決，28.4％支持蔡，27.6％支持郭，23.6％支持柯，另有9.4％都不支持，11％未表態。在郭加入戰局下，柯不僅輸給蔡英文，還落居第三的劣勢。交叉比對分析發現，20?39歲的年輕族群依舊是支持柯文哲的比率最高，40?59歲支持郭台銘較高；教育程度部分，高中職、專科學歷支持郭台銘比率較高，大學學歷則多支持柯；另泛藍選民支持郭台銘比率較高，中間選民則支持柯文哲；民調也顯示雲嘉南地區支持柯文哲比率較高，郭台銘則在桃竹苗、中彰投、宜花東金馬地區得到較高比率的支持。《蘋果》民調顯示，藍綠白對戰組合若改成郭台銘、賴清德、柯文哲，賴獲得29.4％支持位居領先，柯又回到老二取得26.6％支持，郭台銘則得到23.7％支持，10％都不支持，另有10.3％不表態。交叉比對分析發現，在郭、賴、柯對比民調中，男性支持柯文哲比率較高，女性支持賴清德比率較多；柯文哲依舊在20?39歲獲較高比率支持，40?49歲支持郭台銘較高。此外，郭台銘在桃竹苗、宜花東金馬地區得到較高比率支持，但柯文哲在賴清德強壓下，看不到支持的優勢地區，也顯示柯文哲在藍綠對決氛圍下，確實存在被邊緣化的危機。,2019/5/15
郭董的癌症醫療支票（劉玠暘）,鴻海董事長郭台銘11日表示：「如果未來當選中華民國總統，將會在5到10年內把癌症變成慢性病或感冒一樣，讓國人免於癌症的恐懼。」筆者首先必須指出，郭董對於上述疾病的認識顯然不足。一般所謂感冒（commoncold）是一種「急性」的「傳染病」，且大多數患者毋須治療，也會在一兩周內自動痊癒，故將「癌症」與「感冒」相比，十分不倫不類。至於慢性病（chronicdisease）是指「長期性或持續性、不會自動痊癒、也不容易治癒的病症」，常見的操作型定義是「持續兩三個月以上（有些定義半年或一年以上）的疾病」。總之，大部分癌症是典型的「慢性病」，郭董「把癌症『變成』慢性病」實在是一種邏輯上的謬誤。為了方便討論，筆者在此假定，郭董原意是希望將癌症像高血壓、糖尿病等那樣穩定控制，但是郭董此番言論仍有兩個明顯的問題。第一，5年至10年內難以做到，不應做為口號式期待。台灣的醫療能力可與歐美日比肩，但生醫研發能力落後領頭羊美國至少5年至10年，單論此點就很難想像5年至10年內台灣的抗癌有辦法超日趕美到這種地步。上世紀末以降，生醫界在抗癌領域做出了非常多令人驚歎的突破，但也有非常明顯的限制。雖然，20年前上市的「抗費城染色體標靶藥物」確實能夠穩定控制「慢性骨髓性白血病」，10年前上市的「免疫檢查點抑製劑」也確實能夠穩定控制「黑色素癌」。但除了以上極端成功案例，大多數癌症都難以穩定控制，尤其對於無法切除（unresectable）的固態瘤（solidtumor），醫學上所謂「有效」的癌症治療通常都只能控制腫瘤一段時間，平均而言延長數個月壽命。第二，癌症治療的突破，非總統所能決定。郭董認為「現在全民健保不夠用、醫生很血汗辛苦等」，感謝他對醫療界的好意，但是這個與癌症治療是不同方向。癌症要能像高血壓、糖尿病那樣穩定控制，主要的難關是生醫科技問題，跟臨床醫療、公衛政策關係比較間接。癌症治療的科技日新月異沒錯，但大的突破都是需要大量的分子細胞生物學、模式動物、臨床人體試驗等研究長期積累。目前世界各國都已投入大量人才與經費，即便郭董計畫以台灣國家力量投入可行範圍內最大量的資源、有自信能最有效率的運用，5年至10年這麼短的時間內還是難以達到這麼「美好」的目標。郭董如此嚴重低估醫療科技現況與理想之鴻溝，等於忽視眾多醫療人員與研究者長期的心血與尚需投注之辛勞；以口號誤導病人家屬、灌輸錯誤的期待，非但不負責任，甚至可謂殘忍。醫師,2019/5/14
新興菸品能減害？（郭斐然）,雖然政府宣稱禁止新興菸品，但在未完備的法律漏洞下，電子煙及加熱式菸品已經在國內悄悄地流行起來。在建築物門口、巷道、居酒屋，甚至大街上，都可以看到各類異於傳統菸霧的飄送。菸商把新興菸品塑造為「危害較傳統菸品少、沒有二手菸及可協助戒菸」，與政府宣傳的「含有致癌物、二手菸甚至三手菸、沒有確實戒菸效果」相反，令民眾疑惑，甚至是無所適從。然而從流行的趨勢看來，越來越多人將危害的警告拋諸腦後，抱著改善健康的期待，一口一口將化學物質吸入肺部。本文沒有要討論新興菸品減害或危害的科學證據，那是上千篇論文的功課。我們要思考的是這些爭議背後的基本論述：所謂的菸品減害是對身體而言，還是應該有更寬廣的思考。生物、心理、社會模式是近代醫學的一大進步，醫師不再以治療身體疾病為唯一目標，還要同時考慮心靈的撫慰及社會功能的恢復。例如全力搶救中風病人生命之餘，喪失肢體功能的焦慮憂鬱，以及經濟、家庭的衝擊，也是治療計畫的重要部分。菸成癮從來就不是單純尼古丁依賴的問題，菸害也不是只有身體危害而已。菸品減害理論主張有較安全的尼古丁來源，危害物質較傳統菸品減少，是過於狹隘的生物觀點。吸菸者在焦慮時想抽菸，心理壓力大時想抽菸，代表沒有良好的紓壓模式，需要認知行為治療的介入。而長期菸癮導致焦慮症、憂鬱症的比率提高，是菸品造成的心理傷害。菸品減害理論對心理健康方面沒有任何論述，相反新興菸品延後戒菸時機，造成長期心理依賴，對罹患疾病的憂慮沒有解除，甚至增加引起爆炸的心理壓力，再再都是負面的影響。吸菸導致生產力下降、經濟損失、人際及家庭關係失和、負面行為印象，及環境污染，菸品減害理論也完全沒有貢獻。相反新興菸品造成青少年氾濫使用、酒癮、毒癮問題、世代成癮循環、吸菸形象的正常化，對社會有極大負面影響。成癮者需要較安全的尼古丁來源，尼古丁藥物就很安全。雖然我們不鼓勵長期使用尼古丁藥物，少數成癮者可以用來緩解戒斷症狀。戒菸應用方面，沒有任何新興菸品通過戒菸藥物認證，有安全性及療效的保障。我們除了反對上述兩種理由使用新興菸品，也希望透過生物、心理、社會模式，對應菸品減害理論過於狹隘的觀點。基於「預警原則」，我們在不確定新興菸品造成的生物危害、心理危害，與其對青少年模仿效應帶來的長期社會危害前，我國應該禁止此類新興菸品。台大醫院主治醫師,2019/5/14
