縣市,行政區名稱,面積,人口數
基隆市,仁愛區,4.2335,44884
基隆市,中正區,10.2118,52483
基隆市,信義區,10.6706,51868
基隆市,中山區,10.5238,47956
基隆市,安樂區,18.025,82257
基隆市,暖暖區,22.8283,38509
基隆市,七堵區,56.2659,54016
臺北市,中正區,7.6071,160724
臺北市,大同區,5.6815,129827
臺北市,中山區,13.6821,231194
臺北市,松山區,9.2878,208142
臺北市,大安區,11.3614,311360
臺北市,萬華區,8.8522,193036
臺北市,信義區,11.2077,227044
臺北市,士林區,62.3682,289729
臺北市,北投區,56.8216,257107
臺北市,內湖區,31.5787,287770
臺北市,南港區,21.8424,122322
臺北市,文山區,31.509,275058
新北市,板橋區,23.1373,552306
新北市,新莊區,19.7383,414585
新北市,中和區,20.144,413621
新北市,永和區,5.7138,224081
新北市,土城區,29.5578,238495
新北市,樹林區,33.1288,184379
新北市,三峽區,191.4508,114349
新北市,鶯歌區,21.1248,87008
新北市,三重區,16.317,388267
新北市,蘆洲區,7.4351,200959
新北市,五股區,34.8632,84188
新北市,泰山區,19.1603,78919
新北市,林口區,54.1519,103866
新北市,八里區,39.4933,38153
新北市,淡水區,70.6565,166591
新北市,三芝區,65.9909,23309
新北市,石門區,51.2645,12438
新北市,金山區,49.2132,22123
新北市,萬里區,63.3766,22341
新北市,汐止區,71.2354,198130
新北市,瑞芳區,70.7336,40578
新北市,貢寮區,99.9734,12648
新北市,平溪區,71.3382,4744
新北市,雙溪區,146.2484,9040
新北市,新店區,120.2255,301133
新北市,深坑區,20.5787,23673
新北市,石碇區,144.3498,7713
新北市,坪林區,170.835,6551
新北市,烏來區,321.1306,6226
桃園市,桃園區,34.8046,435979
桃園市,中壢區,76.52,398449
桃園市,平鎮區,47.7532,222377
桃園市,八德區,33.7111,193920
桃園市,楊梅區,89.1229,164683
桃園市,蘆竹區,75.5025,159468
桃園市,大溪區,105.1206,94144
桃園市,龍潭區,75.2341,120589
桃園市,龜山區,72.0177,153991
桃園市,大園區,87.3925,87649
桃園市,觀音區,87.9807,65714
桃園市,新屋區,85.0166,48770
桃園市,復興區,350.7775,11266
新竹市,東區,33.5768,210690
新竹市,北區,15.7267,150147
新竹市,香山區,54.8491,77485
新竹縣,竹北市,46.8341,177751
新竹縣,竹東鎮,53.5133,96877
新竹縣,新埔鎮,72.1911,33638
新竹縣,關西鎮,125.5193,29271
新竹縣,湖口鄉,58.4303,77508
新竹縣,新豐鄉,46.3496,56546
新竹縣,峨眉鄉,46.801,5569
新竹縣,寶山鄉,64.7871,14394
新竹縣,北埔鄉,50.6676,9518
新竹縣,芎林鄉,40.7858,20068
新竹縣,橫山鄉,66.3502,13281
新竹縣,尖石鄉,527.5795,9428
新竹縣,五峰鄉,227.728,4569
宜蘭縣,宜蘭市,29.408,95977
宜蘭縣,頭城鎮,100.893,29613
宜蘭縣,礁溪鄉,101.4278,35830
宜蘭縣,壯圍鄉,38.4769,24207
宜蘭縣,員山鄉,111.9106,32301
宜蘭縣,羅東鎮,11.3448,72469
宜蘭縣,蘇澳鎮,89.0196,40416
宜蘭縣,五結鄉,38.8671,39643
宜蘭縣,三星鄉,144.2238,21412
宜蘭縣,冬山鄉,79.8573,53348
宜蘭縣,大同鄉,657.5442,6098
宜蘭縣,南澳鄉,740.652,5891
苗栗縣,苗栗市,37.8878,89664
苗栗縣,頭份市,53.3205,103144
苗栗縣,竹南鎮,37.5592,85121
苗栗縣,後龍鎮,75.8079,37165
苗栗縣,通霄鎮,107.8486,35269
苗栗縣,苑裡鎮,68.2473,46725
苗栗縣,卓蘭鎮,75.3153,17472
苗栗縣,造橋鄉,47.9978,13099
苗栗縣,西湖鄉,41.0758,7265
苗栗縣,頭屋鄉,52.5046,11040
苗栗縣,公館鄉,71.4523,34121
苗栗縣,銅鑼鄉,78.3805,18390
苗栗縣,三義鄉,69.3424,16753
苗栗縣,大湖鄉,90.8396,14999
苗栗縣,獅潭鄉,79.4324,4442
苗栗縣,三灣鄉,52.2964,6835
苗栗縣,南庄鄉,165.4938,10337
